Species,Pond_Area,Soil_Type,Water_Source,Season,Recommended_Stocking,Survival_Rate
Freshwater Prawn,2.56,Clay,River,Summer,39339,92.65
Dungeness Crab,4.24,Sandy,River,Monsoon,16854,82.81
Vannamei,3.71,Loamy,Borewell,Summer,33948,93.87
Soft Shell Crab,4.56,Loamy,Borewell,Winter,5365,81.59
Freshwater Prawn,2.58,Clay,Borewell,Winter,20110,71.71
Catfish,0.71,Sandy,Canal,Monsoon,14308,93.18
Banana Prawn,2.96,Loamy,Canal,Summer,21306,79.63
Trout,0.52,Sandy,Borewell,Monsoon,22004,94.4
Barramundi,2.32,Sandy,Borewell,Winter,43497,87.11
Milkfish,2.83,Sandy,Borewell,Winter,40238,92.7
Tiger Prawn,1.14,Sandy,River,Summer,34775,91.18
Snapper,1.23,Clay,River,Summer,39483,80.85
Dungeness Crab,2.31,Clay,Borewell,Summer,36624,89.8
Salmon,3.83,Clay,Canal,Monsoon,17995,84.8
Rohu,3.03,Sandy,River,Summer,7640,85.1
Carp,1.22,Sandy,River,Summer,16999,87.39
Whiteleg Shrimp,4.29,Loamy,Canal,Summer,47117,82.08
Seabass,1.8,Clay,Borewell,Summer,16166,77.64
Salmon,1.66,Loamy,Canal,Summer,8158,90.1
Carp,3.15,Sandy,Borewell,Summer,46998,85.64
Soft Shell Crab,3.4,Sandy,River,Monsoon,29100,83.72
Carp,0.95,Clay,Borewell,Winter,8055,89.72
Soft Shell Crab,0.96,Sandy,River,Summer,28285,73.12
Salmon,0.67,Sandy,Borewell,Winter,29464,92.15
Soft Shell Crab,1.36,Clay,River,Monsoon,43788,88.71
Freshwater Prawn,3.22,Loamy,Canal,Summer,9810,75.69
Carp,3.74,Sandy,Canal,Summer,31441,70.1
Grouper,3.09,Loamy,Canal,Winter,46832,83.13
Seabass,4.4,Clay,River,Summer,27824,87.08
Mud Crab,0.68,Loamy,Borewell,Winter,44249,82.33
Tilapia,3.06,Sandy,Borewell,Summer,6344,73.9
King Crab,3.34,Sandy,Borewell,Monsoon,25243,70.46
Catfish,2.07,Clay,Borewell,Monsoon,34627,84.49
Freshwater Prawn,4.94,Sandy,Canal,Monsoon,34547,73.69
Banana Prawn,2.66,Clay,River,Monsoon,40890,94.35
King Prawn,1.43,Sandy,Borewell,Monsoon,43934,83.4
Freshwater Prawn,4.58,Sandy,Borewell,Winter,22251,91.07
Pangasius,1.34,Loamy,Canal,Monsoon,28845,72.69
Snapper,1.74,Clay,River,Summer,4140,88.96
Salmon,1.53,Sandy,Borewell,Winter,13389,78.53
Milkfish,2.09,Sandy,Canal,Winter,23894,83.17
Rohu,0.82,Clay,River,Summer,25715,77.96
Barramundi,3.72,Sandy,River,Summer,12186,81.38
Catfish,2.42,Clay,River,Monsoon,4336,83.17
Vannamei,3.47,Loamy,Borewell,Monsoon,7699,94.31
Tilapia,4.29,Sandy,Borewell,Monsoon,22179,91.88
Grouper,4.85,Sandy,River,Summer,40103,76.85
Blue Swimmer Crab,3.47,Loamy,River,Winter,39991,88.68
Grouper,1.77,Sandy,Borewell,Winter,48106,73.69
Catfish,4.69,Clay,Borewell,Monsoon,27415,77.53
Trout,4.1,Clay,River,Winter,12950,73.92
Blue Swimmer Crab,4.87,Sandy,Canal,Summer,49107,89.61
Soft Shell Crab,4.86,Loamy,River,Summer,34207,88.55
Seabass,1.49,Clay,Canal,Summer,31799,78.75
Cod,3.7,Clay,Borewell,Monsoon,26775,84.29
Vannamei,3.08,Loamy,Borewell,Monsoon,5323,76.93
Black Tiger Shrimp,3.04,Loamy,Borewell,Summer,44392,85.24
King Crab,3.69,Loamy,Borewell,Summer,43634,80.26
Snow Crab,3.81,Clay,Canal,Monsoon,35406,73.65
Barramundi,1.52,Loamy,River,Monsoon,24957,86.01
Pangasius,2.86,Loamy,Canal,Monsoon,47517,80.49
King Prawn,3.25,Clay,Canal,Summer,33985,79.35
Snapper,0.69,Sandy,Canal,Monsoon,21786,93.94
Whiteleg Shrimp,3.28,Clay,River,Summer,45782,80.84
Milkfish,4.04,Loamy,Borewell,Summer,40609,80.45
Soft Shell Crab,1.85,Sandy,Borewell,Monsoon,47758,77.37
Catfish,2.93,Sandy,Borewell,Summer,27663,88.41
Whiteleg Shrimp,4.81,Clay,Canal,Summer,15326,77.57
Black Tiger Shrimp,2.14,Loamy,Canal,Winter,20254,75.0
Catfish,3.06,Sandy,Canal,Winter,6948,78.52
Black Tiger Shrimp,2.46,Loamy,Borewell,Monsoon,47836,89.71
Blue Swimmer Crab,4.02,Loamy,Canal,Winter,31013,77.8
Carp,4.75,Sandy,Borewell,Winter,8694,92.65
Barramundi,2.8,Clay,Canal,Summer,2012,74.26
Banana Prawn,1.11,Clay,River,Winter,37210,74.28
Tiger Prawn,0.93,Sandy,Borewell,Winter,3996,88.27
Barramundi,1.63,Clay,Borewell,Winter,42877,84.5
Black Tiger Shrimp,1.02,Loamy,Canal,Monsoon,2000,88.61
Soft Shell Crab,4.74,Clay,Canal,Monsoon,17232,92.64
Carp,4.72,Sandy,River,Monsoon,13077,79.17
Freshwater Prawn,4.34,Clay,Borewell,Summer,40612,81.61
Vannamei,3.58,Loamy,River,Summer,41239,92.92
Blue Swimmer Crab,1.47,Loamy,River,Monsoon,7094,92.62
Dungeness Crab,4.62,Clay,Borewell,Winter,34805,77.89
Snapper,4.89,Clay,Canal,Monsoon,33335,90.85
Trout,1.82,Loamy,Borewell,Winter,5447,77.22
Tuna,1.54,Loamy,Borewell,Winter,42297,72.95
Snapper,3.73,Sandy,Canal,Summer,28401,92.14
Soft Shell Crab,3.75,Clay,River,Summer,47853,73.25
Salmon,3.58,Clay,Canal,Winter,42348,91.02
King Prawn,2.11,Clay,Borewell,Summer,43208,81.22
Tuna,2.73,Sandy,Canal,Summer,12726,86.59
Tiger Prawn,0.77,Clay,Canal,Summer,18790,74.17
Vannamei,3.77,Clay,Borewell,Summer,7031,74.51
Freshwater Prawn,0.85,Loamy,Canal,Winter,23779,87.24
Seabass,1.1,Clay,Canal,Winter,40125,88.85
Trout,3.88,Loamy,Canal,Monsoon,29106,86.6
Tiger Prawn,0.51,Loamy,Borewell,Monsoon,47193,70.33
King Crab,3.64,Sandy,Canal,Monsoon,47372,74.77
Vannamei,2.16,Loamy,River,Summer,28808,91.14
Tuna,2.46,Sandy,Canal,Monsoon,41971,85.99
Vannamei,4.74,Loamy,River,Monsoon,8078,90.52
Soft Shell Crab,3.89,Sandy,River,Summer,14744,93.13
Tiger Prawn,1.22,Sandy,Canal,Monsoon,14590,76.75
Snow Crab,0.73,Loamy,Borewell,Summer,47029,89.05
Catfish,2.97,Sandy,Canal,Winter,5622,80.48
Milkfish,2.06,Clay,River,Summer,43958,85.05
Freshwater Prawn,1.48,Sandy,River,Winter,44606,80.55
Mud Crab,1.51,Clay,River,Winter,39031,90.94
Grouper,1.69,Sandy,River,Winter,39667,81.64
Rohu,1.1,Sandy,River,Monsoon,26803,81.61
Whiteleg Shrimp,4.28,Sandy,River,Winter,14790,89.34
Whiteleg Shrimp,4.9,Loamy,Canal,Winter,31170,80.17
Rohu,3.85,Clay,River,Monsoon,26224,78.07
Mud Crab,4.71,Loamy,River,Monsoon,19531,87.69
Mud Crab,3.16,Clay,Borewell,Monsoon,9092,74.36
Dungeness Crab,4.39,Clay,Borewell,Monsoon,26514,76.81
Salmon,2.85,Clay,River,Monsoon,45335,81.72
Salmon,2.72,Loamy,Borewell,Monsoon,30598,71.01
Black Tiger Shrimp,3.5,Loamy,Borewell,Monsoon,40447,87.85
Banana Prawn,4.29,Clay,Canal,Monsoon,48229,92.41
Rohu,3.52,Loamy,Borewell,Summer,45314,90.09
King Crab,3.82,Loamy,Borewell,Monsoon,44557,94.38
Salmon,3.18,Clay,Borewell,Summer,30435,91.56
Whiteleg Shrimp,1.35,Clay,River,Summer,23695,77.35
Seabass,4.65,Clay,Canal,Monsoon,30608,76.3
Salmon,1.28,Sandy,Canal,Winter,42125,79.97
Tiger Prawn,1.21,Clay,Borewell,Summer,39039,81.97
Seabass,1.68,Loamy,Borewell,Winter,31852,73.05
Rohu,0.63,Clay,Canal,Summer,44799,78.57
Rohu,4.16,Sandy,Canal,Summer,25032,71.4
Milkfish,1.04,Clay,Borewell,Winter,46575,83.14
Seabass,1.25,Loamy,Canal,Monsoon,6094,81.56
Seabass,2.67,Loamy,Borewell,Winter,2542,94.76
Milkfish,3.42,Loamy,Borewell,Winter,13748,70.97
Cod,1.54,Sandy,River,Winter,25503,87.09
Snapper,4.27,Clay,Canal,Winter,32077,93.98
Barramundi,0.99,Loamy,Canal,Winter,30122,92.45
Blue Swimmer Crab,0.6,Clay,Borewell,Monsoon,21450,86.5
Rohu,3.97,Clay,Borewell,Monsoon,27308,82.97
Blue Swimmer Crab,0.9,Sandy,Canal,Monsoon,20970,76.5
Snapper,2.16,Sandy,River,Winter,35567,85.28
Whiteleg Shrimp,3.82,Sandy,Canal,Summer,22144,76.19
Pangasius,4.3,Clay,River,Summer,11012,84.37
Catfish,3.45,Clay,Canal,Winter,39418,75.83
Tuna,4.69,Loamy,Borewell,Summer,22746,74.89
Tilapia,4.54,Clay,River,Summer,10140,87.79
Snow Crab,2.73,Sandy,Canal,Monsoon,5256,82.31
Soft Shell Crab,3.13,Clay,Borewell,Summer,49371,82.6
Tilapia,1.42,Sandy,River,Monsoon,21574,89.63
Rohu,1.64,Sandy,Canal,Summer,29084,86.76
Salmon,4.33,Sandy,Canal,Winter,4106,92.86
Vannamei,3.73,Clay,Canal,Winter,48948,71.12
Catfish,0.53,Sandy,Borewell,Summer,22705,72.2
Rohu,1.48,Loamy,Canal,Summer,6069,86.89
King Crab,1.92,Sandy,River,Winter,39154,70.79
Soft Shell Crab,1.63,Loamy,Canal,Summer,14412,84.91
King Prawn,4.17,Loamy,Borewell,Summer,38392,90.54
Snapper,0.84,Sandy,River,Summer,6575,71.1
King Crab,3.54,Sandy,Borewell,Summer,4955,73.87
Tiger Prawn,4.37,Loamy,Borewell,Winter,37809,78.43
Vannamei,4.06,Loamy,Borewell,Summer,47287,84.45
Blue Swimmer Crab,1.39,Clay,Borewell,Winter,31648,74.25
Banana Prawn,1.53,Clay,River,Monsoon,26483,79.45
Trout,4.68,Clay,River,Summer,45367,73.14
Blue Swimmer Crab,2.43,Sandy,Borewell,Summer,7121,91.58
Salmon,1.62,Loamy,River,Winter,3975,91.23
King Prawn,4.89,Loamy,Canal,Winter,33138,72.28
Dungeness Crab,3.39,Clay,Borewell,Winter,10106,83.49
Black Tiger Shrimp,3.4,Clay,Borewell,Summer,16067,88.31
Freshwater Prawn,2.03,Sandy,River,Winter,22097,71.45
Dungeness Crab,2.7,Loamy,Canal,Winter,27617,83.91
Mud Crab,4.06,Sandy,River,Monsoon,26312,77.43
Tilapia,3.46,Clay,River,Winter,19066,86.92
Carp,2.15,Clay,Canal,Summer,19490,92.06
Cod,1.84,Loamy,Borewell,Summer,49209,87.52
Grouper,3.84,Sandy,Canal,Summer,48831,74.2
Carp,3.15,Sandy,Borewell,Monsoon,30830,93.59
Catfish,1.58,Clay,Canal,Summer,17739,74.36
Trout,1.49,Loamy,River,Summer,31509,94.43
Vannamei,4.65,Sandy,Borewell,Monsoon,24619,94.4
Seabass,1.03,Sandy,River,Winter,26706,77.07
Whiteleg Shrimp,2.47,Clay,Borewell,Monsoon,2358,78.49
King Prawn,4.61,Loamy,Borewell,Summer,18991,79.38
Freshwater Prawn,0.86,Loamy,Borewell,Monsoon,21926,84.52
Catfish,4.2,Clay,River,Winter,32318,94.54
Snapper,3.09,Sandy,River,Monsoon,45303,74.42
Salmon,3.13,Sandy,Canal,Winter,22202,89.9
Tiger Prawn,3.97,Clay,Borewell,Summer,7840,86.91
Barramundi,3.63,Sandy,Borewell,Winter,12538,91.02
Tiger Prawn,3.2,Loamy,Canal,Winter,2023,82.44
Dungeness Crab,2.92,Sandy,Canal,Winter,46394,72.51
Salmon,4.63,Sandy,Canal,Summer,44649,82.83
Tuna,1.37,Sandy,Canal,Summer,5802,88.14
Rohu,2.37,Sandy,Canal,Summer,18804,72.42
Trout,2.19,Loamy,Borewell,Summer,12505,88.33
Blue Swimmer Crab,2.06,Sandy,River,Summer,37964,71.32
Whiteleg Shrimp,2.16,Clay,Borewell,Winter,46198,87.33
Mud Crab,2.72,Sandy,Canal,Summer,34896,82.16
Tiger Prawn,4.32,Clay,Canal,Summer,3080,72.89
Cod,1.45,Clay,Canal,Monsoon,41081,86.83
Tiger Prawn,2.78,Sandy,River,Monsoon,42991,86.55
Freshwater Prawn,2.6,Clay,Canal,Winter,42351,83.02
Seabass,3.91,Clay,Canal,Winter,33550,72.13
Rohu,1.12,Loamy,Borewell,Summer,41853,87.16
Mud Crab,2.84,Sandy,Borewell,Summer,25681,85.02
Pangasius,1.59,Clay,Canal,Monsoon,11789,90.43
Whiteleg Shrimp,2.04,Loamy,Canal,Monsoon,6351,74.54
Dungeness Crab,2.08,Clay,Canal,Winter,38414,85.14
Rohu,2.45,Sandy,Borewell,Winter,18300,92.76
Barramundi,4.29,Sandy,Borewell,Summer,13454,86.9
Banana Prawn,3.28,Sandy,Borewell,Winter,9790,87.33
Mud Crab,2.54,Clay,Borewell,Summer,45895,73.31
Snow Crab,4.09,Loamy,Canal,Summer,5997,90.12
Freshwater Prawn,2.75,Clay,Borewell,Summer,25057,77.8
Trout,4.83,Loamy,Canal,Winter,19628,72.45
Barramundi,4.74,Loamy,Borewell,Summer,39523,74.9
Blue Swimmer Crab,1.88,Clay,River,Winter,20072,89.52
Soft Shell Crab,2.5,Sandy,River,Winter,9269,76.6
Banana Prawn,1.06,Clay,Canal,Summer,9946,82.13
King Crab,3.53,Loamy,River,Monsoon,19365,75.52
Seabass,4.55,Loamy,Canal,Monsoon,42431,83.48
King Prawn,0.57,Sandy,River,Summer,49717,74.69
Pangasius,1.87,Sandy,River,Monsoon,38018,83.39
Vannamei,3.14,Loamy,Borewell,Monsoon,11768,70.78
Tilapia,3.49,Loamy,Canal,Winter,44557,87.19
Mud Crab,3.1,Loamy,River,Monsoon,25801,80.91
Snapper,4.38,Sandy,River,Summer,33736,84.05
Milkfish,1.73,Sandy,River,Summer,6807,72.88
Tilapia,1.73,Clay,Canal,Winter,15455,75.33
Banana Prawn,4.06,Sandy,Borewell,Winter,48981,70.66
Tilapia,0.62,Sandy,Canal,Winter,13943,75.02
King Prawn,1.09,Clay,Borewell,Summer,4448,85.84
Whiteleg Shrimp,3.07,Clay,Canal,Monsoon,20699,86.15
Catfish,4.03,Sandy,Borewell,Monsoon,24985,79.08
Carp,1.26,Sandy,Canal,Winter,35619,86.63
Blue Swimmer Crab,3.14,Loamy,River,Winter,27650,90.26
Grouper,1.77,Loamy,Borewell,Winter,46510,89.4
Soft Shell Crab,4.18,Loamy,Canal,Winter,11702,87.63
Trout,1.85,Clay,Canal,Summer,36567,70.83
Seabass,3.4,Loamy,River,Summer,23849,85.22
Carp,0.62,Sandy,Borewell,Monsoon,34789,87.55
Catfish,4.43,Loamy,Canal,Winter,12685,87.18
Tuna,1.15,Loamy,Canal,Monsoon,40744,87.45
Tuna,0.66,Clay,Canal,Winter,14538,73.52
Whiteleg Shrimp,1.62,Sandy,River,Winter,30441,76.79
Snapper,2.37,Sandy,Borewell,Summer,39925,91.42
Milkfish,3.54,Clay,Borewell,Monsoon,22692,75.0
Salmon,4.57,Sandy,River,Monsoon,43230,87.6
Pangasius,3.07,Sandy,Canal,Monsoon,47443,91.66
Carp,1.57,Sandy,Borewell,Summer,47541,82.62
Black Tiger Shrimp,3.83,Clay,River,Winter,29531,88.35
Catfish,4.15,Clay,Borewell,Winter,4149,88.73
Cod,2.91,Clay,Borewell,Winter,12680,79.9
Tilapia,4.54,Sandy,Canal,Summer,49472,93.95
Snapper,3.87,Loamy,River,Monsoon,21436,94.84
Vannamei,3.46,Clay,Borewell,Monsoon,12496,84.5
Dungeness Crab,0.8,Sandy,River,Monsoon,34719,71.72
Whiteleg Shrimp,4.77,Sandy,River,Monsoon,36577,78.92
Milkfish,3.99,Sandy,Borewell,Winter,12299,84.39
Salmon,0.97,Clay,Borewell,Monsoon,20551,72.48
Vannamei,3.19,Clay,Borewell,Monsoon,3699,86.19
Tiger Prawn,2.69,Loamy,Borewell,Monsoon,8638,77.65
Seabass,1.85,Sandy,Canal,Monsoon,6102,93.18
Snapper,2.5,Loamy,Borewell,Summer,46854,73.04
Tiger Prawn,3.65,Clay,Borewell,Summer,41076,91.87
Banana Prawn,3.29,Sandy,Canal,Winter,24209,72.23
Mud Crab,4.74,Clay,Canal,Summer,2012,82.63
Trout,3.47,Sandy,Canal,Winter,31107,72.64
Vannamei,2.52,Sandy,Canal,Winter,14533,87.82
Dungeness Crab,2.39,Sandy,Borewell,Summer,9834,71.92
Rohu,4.37,Loamy,Borewell,Winter,29479,87.0
Black Tiger Shrimp,0.74,Sandy,River,Winter,24296,80.98
Pangasius,4.71,Sandy,Canal,Summer,34349,77.95
Snow Crab,1.81,Loamy,Canal,Summer,10307,89.35
Salmon,3.03,Sandy,River,Winter,41609,86.59
Snapper,3.4,Sandy,Canal,Monsoon,5617,77.04
Tilapia,2.26,Loamy,Canal,Monsoon,43472,71.6
Barramundi,3.72,Loamy,Canal,Summer,35747,93.22
King Crab,4.2,Loamy,Canal,Winter,6556,70.78
Snapper,4.84,Clay,River,Summer,47851,89.7
Snapper,2.4,Loamy,Canal,Monsoon,38040,84.62
Carp,1.11,Sandy,River,Winter,42017,76.88
Blue Swimmer Crab,0.74,Clay,Canal,Winter,34259,87.04
Blue Swimmer Crab,1.15,Sandy,Borewell,Summer,23492,78.38
Vannamei,0.81,Sandy,Borewell,Monsoon,31001,80.98
Trout,4.52,Loamy,Canal,Summer,27155,75.27
Whiteleg Shrimp,3.22,Loamy,Borewell,Winter,19913,81.18
Tilapia,1.94,Clay,Borewell,Monsoon,25993,91.66
Snapper,0.85,Loamy,River,Summer,44481,70.26
Trout,1.25,Clay,River,Winter,28624,81.66
Grouper,2.12,Sandy,Borewell,Monsoon,19591,93.89
Seabass,1.82,Sandy,River,Winter,40373,82.63
Whiteleg Shrimp,4.25,Sandy,Canal,Winter,34055,94.65
Cod,2.16,Sandy,River,Winter,40851,77.01
Barramundi,1.14,Clay,Borewell,Winter,20749,73.06
Seabass,2.93,Clay,River,Summer,20787,84.49
Seabass,4.85,Clay,Canal,Monsoon,20912,84.92
Soft Shell Crab,4.76,Sandy,Canal,Monsoon,13654,77.99
King Crab,4.99,Clay,River,Winter,20949,91.94
Freshwater Prawn,3.38,Sandy,Canal,Winter,21501,87.88
Milkfish,4.56,Clay,Canal,Winter,39027,83.01
Snow Crab,4.33,Loamy,River,Monsoon,2745,88.07
Salmon,3.49,Clay,Canal,Summer,46837,93.91
Soft Shell Crab,2.53,Sandy,River,Monsoon,35014,94.97
Whiteleg Shrimp,4.15,Clay,Borewell,Summer,10196,75.62
Cod,1.71,Clay,Borewell,Monsoon,10221,90.18
Banana Prawn,3.75,Clay,River,Summer,37991,86.98
Grouper,1.73,Clay,River,Summer,41718,91.0
Banana Prawn,4.41,Loamy,River,Summer,18270,90.13
King Prawn,4.25,Loamy,Canal,Monsoon,33679,74.09
Tiger Prawn,1.43,Clay,River,Winter,9577,81.87
Vannamei,0.65,Sandy,Borewell,Winter,38581,72.91
Trout,4.92,Clay,Borewell,Summer,21666,77.67
Vannamei,0.53,Loamy,Borewell,Summer,28831,94.56
King Prawn,2.05,Loamy,Canal,Summer,7599,80.88
Tiger Prawn,2.57,Clay,River,Summer,27009,71.45
Mud Crab,4.65,Clay,River,Monsoon,11581,75.32
Salmon,2.7,Loamy,River,Summer,17490,81.57
Tiger Prawn,3.01,Clay,River,Monsoon,28483,70.15
Rohu,0.88,Sandy,River,Summer,5694,84.15
Seabass,1.9,Clay,River,Summer,47132,77.96
Mud Crab,0.89,Clay,River,Winter,4787,72.36
Milkfish,2.86,Loamy,River,Monsoon,18635,70.9
Salmon,4.15,Clay,River,Winter,8393,83.37
Snow Crab,1.61,Loamy,Canal,Summer,47665,86.57
King Prawn,3.44,Clay,River,Summer,32033,85.15
Seabass,1.29,Sandy,River,Summer,30938,70.32
Dungeness Crab,4.63,Sandy,River,Monsoon,42657,82.24
Rohu,1.83,Sandy,Canal,Summer,42177,78.25
Mud Crab,3.51,Loamy,Borewell,Summer,24687,84.6
Vannamei,4.72,Clay,Canal,Monsoon,4374,83.48
Rohu,4.28,Clay,Borewell,Winter,17098,77.43
Pangasius,1.66,Loamy,Borewell,Winter,48947,70.45
King Crab,4.96,Loamy,Canal,Monsoon,28202,81.06
Black Tiger Shrimp,4.29,Sandy,River,Winter,46603,75.36
Rohu,3.53,Clay,Borewell,Summer,31567,89.14
Mud Crab,0.59,Loamy,Borewell,Winter,47920,75.06
Barramundi,3.22,Loamy,Canal,Summer,23776,75.72
Pangasius,1.69,Loamy,Canal,Summer,39973,78.95
Rohu,4.92,Clay,Canal,Winter,8720,83.46
Trout,1.85,Sandy,River,Monsoon,37417,89.03
Catfish,4.94,Clay,Canal,Winter,21701,85.73
Salmon,1.83,Loamy,River,Summer,6288,73.99
Whiteleg Shrimp,2.44,Sandy,Canal,Monsoon,45700,74.85
King Crab,3.51,Clay,Borewell,Monsoon,46963,94.6
King Prawn,0.76,Sandy,Borewell,Summer,21531,78.29
Milkfish,0.87,Clay,River,Winter,22000,93.23
Snow Crab,3.1,Sandy,Borewell,Summer,25820,94.83
Pangasius,1.48,Loamy,River,Summer,49584,78.77
Seabass,2.03,Clay,Borewell,Monsoon,16894,92.46
Dungeness Crab,2.87,Sandy,Canal,Monsoon,29357,70.11
Grouper,4.51,Loamy,Borewell,Monsoon,35199,70.36
Blue Swimmer Crab,2.62,Loamy,River,Summer,28612,72.24
Tilapia,1.17,Clay,Borewell,Summer,48443,75.8
Carp,0.62,Loamy,Canal,Monsoon,16954,86.03
Freshwater Prawn,2.55,Sandy,Canal,Monsoon,43698,83.14
Black Tiger Shrimp,4.05,Clay,River,Winter,31983,93.17
Mud Crab,4.55,Sandy,River,Summer,48736,94.1
Whiteleg Shrimp,1.01,Loamy,Borewell,Monsoon,47463,88.87
Soft Shell Crab,1.34,Clay,River,Monsoon,32379,71.66
King Prawn,3.36,Clay,Canal,Monsoon,23181,94.79
Dungeness Crab,1.79,Loamy,Canal,Monsoon,15591,94.01
Snow Crab,4.82,Sandy,Canal,Summer,29856,87.79
Tilapia,2.49,Clay,Borewell,Monsoon,34195,89.17
Carp,2.91,Clay,Canal,Winter,40656,93.81
Rohu,2.59,Loamy,Borewell,Monsoon,35705,86.63
Freshwater Prawn,3.91,Clay,Borewell,Winter,37401,71.23
Cod,1.05,Clay,River,Winter,3874,89.55
Freshwater Prawn,2.81,Clay,Borewell,Summer,37690,88.38
Vannamei,0.81,Sandy,Borewell,Summer,30162,77.24
Banana Prawn,1.99,Sandy,River,Winter,19535,94.81
Snow Crab,4.32,Clay,Canal,Winter,22678,79.2
Snow Crab,3.56,Loamy,Borewell,Summer,16346,92.18
Pangasius,1.8,Sandy,Canal,Winter,28901,85.77
Black Tiger Shrimp,1.59,Clay,River,Summer,47616,71.58
Salmon,3.11,Clay,Borewell,Winter,9740,88.42
Grouper,2.85,Clay,Borewell,Summer,28805,80.48
Whiteleg Shrimp,3.77,Sandy,Canal,Summer,37365,93.23
Soft Shell Crab,3.35,Sandy,Borewell,Winter,2790,70.85
Black Tiger Shrimp,1.23,Sandy,Borewell,Summer,9332,88.4
Tilapia,1.17,Loamy,River,Monsoon,33203,72.61
Rohu,1.45,Sandy,River,Monsoon,42697,80.84
Black Tiger Shrimp,0.7,Clay,River,Winter,24657,76.84
Pangasius,2.65,Clay,Canal,Winter,38033,71.29
Salmon,4.64,Sandy,River,Monsoon,10710,75.45
Carp,2.79,Clay,River,Summer,26003,74.86
Blue Swimmer Crab,0.67,Sandy,River,Summer,5177,78.84
Milkfish,1.71,Loamy,Canal,Summer,2606,92.82
Tilapia,1.44,Loamy,Canal,Winter,15978,92.26
Banana Prawn,3.43,Clay,Borewell,Winter,5669,87.35
Banana Prawn,1.66,Sandy,Borewell,Winter,15548,82.36
Grouper,2.03,Clay,Canal,Summer,20663,80.69
Soft Shell Crab,4.31,Loamy,River,Monsoon,28632,81.71
Vannamei,4.79,Sandy,River,Monsoon,20239,92.47
Cod,2.03,Loamy,Canal,Monsoon,36374,85.44
Tuna,1.01,Loamy,Borewell,Summer,34610,74.9
Grouper,2.75,Sandy,Canal,Summer,6600,83.66
Catfish,2.73,Clay,Borewell,Monsoon,10808,83.52
Vannamei,3.32,Loamy,Canal,Monsoon,19466,71.56
Whiteleg Shrimp,4.99,Clay,River,Summer,10494,94.13
Whiteleg Shrimp,1.87,Loamy,River,Winter,11606,88.53
Tuna,3.34,Loamy,River,Winter,13366,90.11
Pangasius,1.1,Clay,Borewell,Monsoon,12517,94.2
Dungeness Crab,4.33,Sandy,River,Winter,32615,71.85
Vannamei,4.06,Clay,Borewell,Winter,37651,83.06
Rohu,3.82,Sandy,Borewell,Winter,22862,89.92
Tuna,3.62,Loamy,River,Winter,21912,82.62
Snow Crab,4.0,Clay,Borewell,Summer,10255,84.96
Cod,3.28,Loamy,Canal,Summer,49458,86.95
Blue Swimmer Crab,3.05,Clay,River,Monsoon,5601,75.06
King Crab,2.76,Sandy,Canal,Summer,48949,88.11
Soft Shell Crab,4.6,Clay,River,Summer,26430,93.1
Snow Crab,2.44,Clay,Canal,Summer,27444,80.28
Tilapia,1.73,Loamy,River,Summer,25211,87.13
Freshwater Prawn,2.0,Loamy,Borewell,Monsoon,49677,80.96
King Prawn,3.99,Clay,River,Summer,27332,74.27
Cod,1.96,Sandy,Canal,Winter,42292,78.95
Dungeness Crab,4.37,Sandy,Borewell,Monsoon,46022,86.86
Seabass,2.11,Sandy,Canal,Winter,32020,85.28
Milkfish,0.91,Sandy,Borewell,Monsoon,38729,94.76
Blue Swimmer Crab,4.98,Loamy,Borewell,Summer,7007,85.23
Rohu,3.74,Clay,Borewell,Winter,36587,75.66
Trout,4.03,Sandy,Canal,Winter,11938,70.65
Tilapia,1.08,Clay,Canal,Monsoon,49309,81.31
Catfish,1.62,Sandy,River,Summer,28469,73.83
Dungeness Crab,1.44,Loamy,Borewell,Monsoon,8484,70.7
Tuna,4.11,Sandy,Canal,Monsoon,31023,74.07
Snapper,3.58,Loamy,Borewell,Winter,33018,78.67
Black Tiger Shrimp,4.54,Loamy,Borewell,Winter,30908,93.64
Tilapia,1.78,Sandy,River,Summer,32914,83.33
Catfish,1.31,Sandy,Borewell,Summer,20900,81.91
Grouper,4.52,Sandy,Canal,Summer,35620,72.24
Vannamei,3.55,Clay,Borewell,Monsoon,34954,79.96
Freshwater Prawn,3.5,Sandy,Borewell,Winter,38303,72.8
Catfish,2.61,Loamy,River,Monsoon,34335,93.4
Milkfish,2.13,Loamy,Canal,Monsoon,29054,81.74
Seabass,2.46,Sandy,River,Winter,34761,70.53
King Prawn,3.34,Sandy,Canal,Monsoon,9319,87.0
Vannamei,2.25,Loamy,River,Monsoon,26121,73.94
Salmon,3.02,Clay,Borewell,Monsoon,7192,70.92
Pangasius,3.14,Sandy,Canal,Winter,45345,77.13
Whiteleg Shrimp,1.13,Sandy,River,Summer,8796,82.18
Trout,4.37,Loamy,Borewell,Summer,9761,89.07
Tuna,3.63,Clay,River,Monsoon,26271,71.79
Barramundi,2.7,Sandy,Borewell,Summer,14935,76.83
Salmon,3.31,Clay,Borewell,Winter,12727,76.58
Barramundi,1.51,Sandy,River,Summer,42079,77.64
Whiteleg Shrimp,4.01,Sandy,River,Monsoon,7933,89.83
Blue Swimmer Crab,2.04,Sandy,Borewell,Monsoon,24455,90.21
Tiger Prawn,3.48,Clay,Canal,Winter,11699,88.42
