Species,Pond_Area,Feed_Used,Culture_Days,Expected_Yield
Catfish,1.9,4716,114,8.85
Tilapia,2.7,1737,146,6.35
King Crab,1.4,4215,157,9.6
Snow Crab,3.3,2355,165,6.5
Banana Prawn,4.6,2241,130,5.04
Blue Swimmer Crab,2.3,1795,131,9.21
Freshwater Prawn,2.5,668,97,4.52
Pangasius,2.2,4089,157,9.32
Freshwater Prawn,4.8,2670,115,4.04
Mud Crab,1.1,2912,139,6.2
Blue Swimmer Crab,4.4,4864,103,8.06
Tilapia,4.1,905,105,5.04
Banana Prawn,3.0,3181,145,5.55
Banana Prawn,3.2,4569,144,6.36
Dungeness Crab,1.4,1820,119,6.97
Snapper,3.0,1644,129,6.7
Snow Crab,2.6,2647,154,5.24
Whiteleg Shrimp,4.9,2461,124,7.81
Tilapia,4.1,3526,142,3.12
Mud Crab,1.5,4698,152,8.25
Mud Crab,1.5,1222,115,4.48
King Prawn,4.8,911,177,9.26
Dungeness Crab,4.0,2793,133,2.01
Milkfish,4.2,4841,172,7.11
Barramundi,3.5,4377,131,7.91
Tiger Prawn,2.1,3001,150,6.07
Snow Crab,2.1,4997,110,7.55
Catfish,3.5,3138,177,2.52
Blue Swimmer Crab,3.8,588,165,9.96
Black Tiger Shrimp,3.4,3282,154,3.26
Pangasius,4.8,1046,97,7.51
King Crab,4.2,1099,115,6.92
Trout,3.4,4424,146,4.23
King Prawn,3.9,762,172,8.12
Banana Prawn,1.0,1318,126,3.07
Snapper,2.4,1592,102,8.51
Snapper,2.4,4782,143,9.06
Banana Prawn,2.8,2632,176,7.99
Rohu,1.1,1728,93,5.01
Freshwater Prawn,2.1,725,156,4.37
Mud Crab,2.8,3536,118,8.37
Dungeness Crab,1.1,3701,148,8.26
Tilapia,0.6,3691,166,3.36
Rohu,3.4,1609,165,6.65
Tuna,3.0,4287,130,7.3
Banana Prawn,2.2,825,90,5.25
Milkfish,3.4,2682,160,4.01
Whiteleg Shrimp,3.8,4363,103,8.38
Barramundi,4.5,3153,180,6.28
Grouper,4.3,551,169,9.17
King Crab,0.8,2316,133,4.43
Black Tiger Shrimp,3.5,4320,154,3.13
Tuna,1.2,2793,104,7.43
Cod,4.3,4246,166,7.17
Milkfish,2.2,3031,173,3.38
Freshwater Prawn,3.3,2497,129,2.31
Milkfish,3.1,4063,147,6.61
Blue Swimmer Crab,3.3,4390,170,9.11
Banana Prawn,4.3,3807,121,4.64
Mud Crab,3.0,3602,111,6.65
Milkfish,2.3,3573,145,9.33
Soft Shell Crab,0.8,2011,92,7.98
Seabass,4.2,812,104,9.61
King Prawn,4.0,4334,119,9.21
Tiger Prawn,2.8,4598,97,4.85
Pangasius,1.0,2221,130,8.77
Mud Crab,1.9,2662,109,9.0
Barramundi,1.3,3896,117,4.73
Pangasius,1.5,1787,138,7.14
Black Tiger Shrimp,1.8,1071,167,4.73
Black Tiger Shrimp,3.2,4906,145,5.77
Grouper,0.7,2297,145,8.13
Cod,2.4,3665,146,8.9
Barramundi,3.3,681,118,3.38
Soft Shell Crab,1.0,3133,102,6.54
Tiger Prawn,2.8,4330,136,8.58
Black Tiger Shrimp,4.6,2687,178,4.51
Carp,1.2,2867,169,7.94
Whiteleg Shrimp,2.3,1989,145,8.35
Blue Swimmer Crab,1.7,696,157,2.98
Salmon,2.7,1018,143,5.92
Dungeness Crab,1.9,4729,124,5.96
Tiger Prawn,2.0,2195,176,2.48
King Prawn,4.4,4221,129,8.49
Trout,4.0,1637,119,4.4
Vannamei,2.0,998,115,2.23
Tuna,3.2,1783,125,8.33
Tiger Prawn,4.9,901,176,5.35
Pangasius,3.2,4913,103,2.42
Tiger Prawn,1.5,4206,94,9.06
Grouper,1.3,4903,116,3.84
Whiteleg Shrimp,3.7,1216,104,6.81
Carp,4.0,4267,100,8.33
Carp,0.7,2126,136,8.24
King Crab,4.3,1197,180,4.78
King Prawn,1.4,1163,146,5.79
King Crab,1.7,2113,167,3.54
Snow Crab,3.7,4768,166,3.18
Dungeness Crab,2.4,4957,151,2.73
Trout,4.4,1326,148,4.42
Whiteleg Shrimp,2.6,4736,102,6.49
Milkfish,4.3,4853,145,2.13
Dungeness Crab,1.1,3195,149,7.19
Grouper,1.0,4038,156,4.59
Mud Crab,0.7,1638,155,6.2
Grouper,1.4,4105,145,8.41
Carp,1.1,4504,154,9.5
Rohu,4.8,2583,176,2.56
Pangasius,5.0,4526,115,6.04
Tuna,1.8,4353,176,8.13
Whiteleg Shrimp,0.7,2240,99,8.05
Barramundi,2.6,3160,132,7.42
Pangasius,2.8,3741,146,6.81
Barramundi,1.2,2960,144,6.44
Pangasius,4.5,3495,176,9.92
Tiger Prawn,4.5,1810,142,3.31
Carp,0.9,1605,128,4.17
Tiger Prawn,1.6,3163,157,2.3
Catfish,3.9,4388,136,6.68
Rohu,3.2,2863,90,7.09
Rohu,2.7,3050,165,7.56
Tuna,3.7,2363,135,9.16
Snapper,1.3,2066,149,5.3
Grouper,3.7,1119,139,7.88
King Crab,0.8,2889,111,6.12
Blue Swimmer Crab,1.8,4640,145,6.37
Whiteleg Shrimp,1.4,4800,95,7.91
Banana Prawn,1.6,3612,179,4.57
Rohu,4.0,3360,96,9.53
Snow Crab,1.3,2813,131,3.7
Mud Crab,1.6,4134,103,6.72
Grouper,4.5,3345,112,8.32
Banana Prawn,4.2,1066,145,2.16
Mud Crab,1.7,763,176,6.93
Salmon,3.3,4463,95,6.2
Dungeness Crab,3.2,4136,101,6.21
Carp,3.7,2202,143,9.88
Barramundi,1.6,889,100,8.52
Rohu,4.9,3475,132,8.58
Catfish,0.9,3741,158,7.46
Seabass,3.9,4363,166,2.88
Dungeness Crab,2.3,3474,137,2.38
Snapper,3.9,3005,119,5.44
Rohu,3.8,701,129,4.08
Milkfish,0.9,1469,105,3.52
Dungeness Crab,3.8,3483,96,3.42
Carp,4.2,946,93,7.04
Carp,0.6,3263,107,7.89
Soft Shell Crab,1.7,3990,161,2.99
Black Tiger Shrimp,4.9,3601,126,3.1
King Prawn,2.7,2249,96,6.49
Trout,1.3,4230,149,5.76
Dungeness Crab,4.2,3734,145,4.47
Snow Crab,2.0,4342,115,8.51
Tuna,1.4,3504,103,9.33
Freshwater Prawn,1.9,4113,127,9.76
Milkfish,2.6,1533,118,8.23
Rohu,4.4,2035,135,3.41
Banana Prawn,0.6,791,117,9.63
Seabass,2.4,2257,158,7.25
Mud Crab,2.3,1088,178,4.64
Tilapia,2.8,3073,115,10.0
Carp,3.0,1813,110,3.78
Seabass,1.3,3445,112,2.41
Cod,4.4,3583,156,3.44
Trout,1.8,3283,157,5.1
Soft Shell Crab,2.6,3845,147,3.68
Rohu,1.6,2890,113,2.75
Tilapia,4.1,4796,171,8.67
King Prawn,1.0,1396,166,7.47
King Prawn,1.8,4646,127,9.52
King Prawn,2.5,3626,171,5.53
Snow Crab,0.9,1301,117,5.49
Grouper,3.8,895,174,3.8
Snapper,1.5,1686,91,7.77
Tilapia,3.9,1537,144,5.09
Dungeness Crab,2.3,1882,152,4.48
Catfish,3.4,1035,145,4.35
Soft Shell Crab,2.9,4843,136,9.44
Snow Crab,4.1,2235,178,3.32
King Prawn,2.1,3200,175,2.25
Snow Crab,4.8,1728,95,4.58
Rohu,1.8,4137,169,4.1
King Crab,4.7,1437,107,7.26
Tiger Prawn,4.2,1076,171,7.06
Cod,2.8,1924,90,8.43
Dungeness Crab,4.8,3403,157,5.94
Tuna,3.5,3293,137,7.61
King Crab,2.0,1080,121,3.59
Carp,3.5,4286,179,3.98
Milkfish,3.9,3372,154,3.83
King Prawn,2.5,2471,103,5.71
Grouper,2.6,3876,177,2.07
Whiteleg Shrimp,1.8,3256,169,4.09
Cod,2.9,4027,162,2.28
Tilapia,4.4,3302,105,4.87
Catfish,2.6,2963,122,4.66
Milkfish,2.7,2724,145,6.19
Catfish,1.5,3563,150,5.1
Mud Crab,1.8,3487,114,5.65
Snapper,3.5,2596,92,9.55
Freshwater Prawn,2.5,1154,117,9.4
Snapper,3.7,2098,103,5.79
Milkfish,2.5,2050,163,5.45
Carp,1.3,2968,107,7.9
Carp,2.7,4824,165,3.43
Seabass,1.4,4887,98,6.83
Barramundi,1.2,3309,139,9.16
Black Tiger Shrimp,4.0,2052,99,2.54
Tuna,5.0,1074,92,2.06
Snow Crab,3.7,4817,132,8.82
Banana Prawn,2.0,3340,136,7.5
Seabass,2.6,2627,114,7.48
Carp,1.1,1395,162,3.73
Dungeness Crab,2.8,2536,114,2.91
Rohu,4.7,1167,109,8.43
Trout,1.8,1949,127,7.39
Snapper,1.4,4125,152,6.38
Pangasius,1.1,954,178,4.28
Banana Prawn,3.4,4069,134,8.68
Snapper,2.1,2941,93,2.79
Vannamei,4.8,4015,103,7.53
Dungeness Crab,2.5,2353,110,4.1
Mud Crab,0.6,1586,159,7.31
Mud Crab,3.3,4493,176,7.81
Black Tiger Shrimp,2.7,4944,176,8.71
Trout,3.0,1723,148,3.08
Vannamei,1.6,1207,156,5.69
Seabass,4.7,2547,137,3.63
Dungeness Crab,2.4,782,164,7.14
Banana Prawn,4.7,1617,176,3.67
Mud Crab,1.3,2696,104,4.01
Grouper,1.8,4588,124,8.28
Barramundi,1.3,2751,122,5.01
Vannamei,0.8,1026,106,3.57
King Crab,1.9,2153,106,2.29
Freshwater Prawn,3.7,629,91,7.44
Blue Swimmer Crab,1.8,2151,160,7.01
Whiteleg Shrimp,4.9,1070,110,7.03
King Crab,1.0,3393,175,8.19
King Prawn,4.6,2229,115,2.18
Milkfish,3.0,4057,172,2.21
King Prawn,3.4,3759,108,9.32
King Prawn,4.6,1950,166,3.83
Mud Crab,1.4,4441,133,3.98
Cod,3.8,1039,161,6.32
Milkfish,1.4,3282,104,4.74
Salmon,1.7,3856,146,9.79
Carp,3.6,1577,169,9.46
King Crab,3.0,3434,118,4.23
Mud Crab,2.1,1474,123,8.66
Carp,4.1,4436,90,4.06
Catfish,4.0,2694,155,8.26
Banana Prawn,3.1,3383,116,5.2
Milkfish,0.8,2668,179,9.93
Snapper,2.8,693,148,2.75
Catfish,1.3,2503,121,6.71
Mud Crab,2.1,1609,171,3.04
Snow Crab,4.8,3566,148,7.9
King Crab,2.9,4809,95,5.49
Grouper,2.8,1316,107,6.84
Soft Shell Crab,3.8,709,140,3.54
Snapper,1.6,2949,141,7.39
Tilapia,3.0,3421,170,5.17
Rohu,4.2,2945,173,4.64
Dungeness Crab,1.0,3071,121,6.36
Carp,4.7,3597,160,9.63
Snapper,3.0,2021,127,2.45
Seabass,0.9,2339,138,2.29
Dungeness Crab,3.4,739,91,7.13
Milkfish,2.8,3260,93,3.04
Catfish,4.9,1413,93,8.98
Dungeness Crab,1.7,3753,118,3.39
Salmon,4.5,2655,155,2.96
Salmon,3.9,1180,154,8.35
King Prawn,3.4,902,129,7.62
Black Tiger Shrimp,4.5,2824,157,5.12
Freshwater Prawn,1.2,3367,152,7.52
Tilapia,2.4,2715,101,8.55
Salmon,0.6,1330,105,3.6
Rohu,1.4,2716,140,4.49
Soft Shell Crab,3.7,2907,91,6.85
Trout,3.1,1470,146,2.35
Milkfish,3.3,4696,149,3.39
Dungeness Crab,0.7,4725,112,9.32
Snapper,3.8,4265,144,2.62
Milkfish,1.4,3559,103,7.57
Rohu,2.7,4485,129,5.52
King Crab,1.4,1537,178,9.14
King Prawn,1.2,1416,134,5.64
Blue Swimmer Crab,0.7,1724,111,6.07
Trout,4.5,2912,134,3.78
Snapper,4.2,969,94,8.35
Tiger Prawn,2.6,861,137,6.05
Freshwater Prawn,0.9,4085,160,4.04
Catfish,3.5,3403,160,2.86
Carp,1.5,3503,135,3.44
Tiger Prawn,3.1,2711,160,8.79
Dungeness Crab,3.0,2574,118,9.1
Snow Crab,2.9,3965,115,3.41
Vannamei,4.9,4325,167,7.2
Grouper,4.4,3864,119,5.15
Seabass,4.3,1961,147,6.68
Snow Crab,2.9,2576,142,3.05
King Crab,1.3,4136,165,8.41
Carp,2.3,3767,153,9.08
Seabass,3.5,2254,125,7.97
Blue Swimmer Crab,3.0,3622,152,6.66
Cod,1.5,1084,127,7.13
Cod,3.2,3751,101,7.29
Catfish,2.1,570,155,6.3
Tuna,2.4,3492,119,5.48
Snow Crab,2.9,1637,163,3.55
Tilapia,2.7,4258,126,2.11
Blue Swimmer Crab,1.2,1969,149,3.64
Carp,2.1,2375,172,4.96
Cod,3.2,4197,158,4.14
Banana Prawn,2.4,1502,148,4.03
King Prawn,1.5,1876,153,2.36
Tuna,1.3,3589,113,3.79
Tilapia,4.6,1960,173,3.13
Soft Shell Crab,3.4,3211,153,9.07
Grouper,2.6,2755,114,6.2
Pangasius,3.6,4214,128,4.29
Black Tiger Shrimp,3.4,2931,165,4.87
Black Tiger Shrimp,2.4,4375,120,5.77
Snapper,4.4,4206,167,2.34
Tuna,1.6,3427,151,4.63
Grouper,2.1,2282,144,5.98
Pangasius,1.3,4915,156,7.39
Mud Crab,3.7,3445,167,7.87
King Prawn,1.2,2288,117,5.53
Rohu,4.9,4780,165,6.1
Seabass,2.5,4196,136,2.16
Tilapia,2.8,3183,135,9.76
Black Tiger Shrimp,1.4,4645,167,9.21
Mud Crab,1.0,2585,110,3.19
Trout,2.4,1585,173,6.01
Snow Crab,5.0,4900,160,3.58
Seabass,3.8,1213,139,6.5
Black Tiger Shrimp,2.8,2228,122,7.72
Cod,2.3,2175,125,7.26
Vannamei,4.6,984,160,9.35
Dungeness Crab,1.4,2790,146,9.01
Black Tiger Shrimp,2.1,4151,167,5.48
Rohu,5.0,1417,178,2.33
Tilapia,0.9,1394,164,3.98
Tiger Prawn,3.2,2093,92,8.25
Whiteleg Shrimp,2.2,3267,160,9.16
Grouper,2.2,4447,145,4.43
Barramundi,2.5,1871,158,6.33
Mud Crab,2.5,4436,116,2.89
Whiteleg Shrimp,3.6,3530,149,5.96
Milkfish,2.6,3771,97,7.62
King Crab,4.6,2297,105,5.93
Salmon,1.8,844,142,4.77
Whiteleg Shrimp,0.8,1394,93,8.39
Trout,2.9,1340,116,8.77
Black Tiger Shrimp,4.9,1963,153,8.73
Freshwater Prawn,1.2,1172,90,6.53
Cod,2.7,4169,112,4.39
King Crab,0.8,551,103,2.62
Grouper,3.2,2203,157,5.99
Vannamei,4.0,4904,154,7.81
Soft Shell Crab,3.7,1120,137,3.64
Rohu,4.1,2811,98,7.6
Dungeness Crab,3.7,2931,133,4.5
Soft Shell Crab,3.6,2472,154,6.36
Milkfish,2.2,4284,146,3.45
Soft Shell Crab,3.3,1748,130,8.67
Barramundi,4.7,3645,98,5.96
Tiger Prawn,4.9,1433,155,2.19
Snapper,1.7,4630,93,6.85
Grouper,4.8,894,148,5.84
Whiteleg Shrimp,1.9,3146,148,7.77
Mud Crab,2.9,3277,155,5.06
Black Tiger Shrimp,4.5,3862,137,6.4
Salmon,3.6,2366,98,7.91
Rohu,1.3,501,119,3.41
Trout,3.6,734,97,9.82
Tilapia,3.5,4823,108,7.69
King Prawn,1.4,1126,160,7.8
Barramundi,1.7,4882,178,5.22
Carp,5.0,2932,157,3.95
Vannamei,2.6,3453,95,9.49
Snow Crab,3.6,1918,173,4.03
Banana Prawn,3.3,3678,144,6.16
Freshwater Prawn,3.8,2119,121,7.97
Tuna,3.0,2767,104,8.79
Whiteleg Shrimp,3.6,2391,114,7.26
Snapper,1.3,2317,122,6.93
Trout,4.0,948,101,5.33
Tilapia,2.3,3390,143,9.6
Mud Crab,3.0,4235,178,2.16
Tilapia,0.7,694,122,7.34
Carp,4.6,1403,108,2.03
Mud Crab,2.6,2464,127,7.8
Tilapia,3.8,3366,103,5.62
Snapper,4.8,1177,136,5.99
Cod,2.4,2971,149,3.38
Tilapia,2.1,590,176,6.8
Pangasius,2.2,1599,157,9.13
Mud Crab,4.0,1325,100,3.93
Banana Prawn,2.4,2398,179,5.57
Grouper,4.0,2575,117,6.03
Seabass,3.1,3237,115,2.64
Rohu,1.2,1997,155,6.98
Barramundi,4.9,2812,153,4.01
Dungeness Crab,3.3,4611,143,2.99
Pangasius,3.9,4341,170,4.57
Milkfish,1.7,3218,96,3.18
Catfish,4.9,4856,165,9.54
Barramundi,5.0,3299,138,4.8
Mud Crab,3.3,2187,169,3.61
Salmon,0.7,1217,112,3.69
Trout,4.9,4049,101,2.08
Soft Shell Crab,1.2,2266,137,9.56
King Prawn,2.9,4079,117,7.65
Blue Swimmer Crab,4.3,3490,155,9.05
Snapper,5.0,1438,120,9.9
Blue Swimmer Crab,1.5,4668,166,7.17
Freshwater Prawn,4.6,1781,101,6.81
Snapper,2.5,3347,103,8.61
King Prawn,2.1,4194,116,9.08
Dungeness Crab,3.4,1146,169,6.86
Seabass,0.5,1026,135,4.77
King Prawn,2.7,2279,131,7.15
Salmon,4.9,4378,124,8.51
Vannamei,4.3,4002,98,7.04
Snow Crab,2.1,4755,97,7.93
Salmon,4.7,3144,134,5.64
Black Tiger Shrimp,1.1,4846,155,7.31
Mud Crab,2.9,3943,99,9.61
Tuna,2.9,1572,127,3.75
Snow Crab,1.5,1645,158,7.11
Tuna,2.0,2475,165,9.12
Barramundi,2.7,2517,113,7.15
Cod,1.6,1427,127,7.35
Grouper,3.3,4833,100,8.76
Rohu,2.3,4351,116,6.38
Tiger Prawn,3.6,810,109,5.72
Milkfish,0.9,2265,164,4.65
Salmon,2.1,4939,106,5.91
Black Tiger Shrimp,2.9,4710,108,6.27
King Prawn,1.2,1466,153,9.12
Freshwater Prawn,2.4,1611,118,7.75
Whiteleg Shrimp,0.7,4317,127,3.16
Pangasius,2.8,1068,145,2.53
Barramundi,0.6,1314,161,3.98
Rohu,5.0,3070,157,6.17
Milkfish,3.7,2522,136,2.83
Freshwater Prawn,3.0,4289,144,7.23
Salmon,3.7,4379,130,6.13
Black Tiger Shrimp,2.1,3258,174,9.92
Blue Swimmer Crab,1.9,2870,118,4.67
Blue Swimmer Crab,3.0,959,170,7.44
King Crab,4.3,1233,177,8.02
Pangasius,4.3,971,156,3.18
Grouper,4.0,4312,94,2.48
Blue Swimmer Crab,1.3,2159,167,2.29
Mud Crab,4.4,3300,128,4.45
Seabass,4.2,4253,150,4.22
Trout,3.3,802,145,9.6
Black Tiger Shrimp,4.4,3842,159,5.78
Salmon,1.3,4115,108,3.16
Whiteleg Shrimp,1.3,1895,136,3.42
Snow Crab,0.6,4661,180,2.52
Barramundi,1.2,1367,147,9.73
Salmon,1.7,3096,177,6.39
Soft Shell Crab,3.7,3185,156,6.15
Mud Crab,4.3,4361,171,8.76
King Crab,4.5,3853,153,2.82
Black Tiger Shrimp,2.7,2311,120,2.02
Tiger Prawn,3.0,1789,136,5.0
Vannamei,3.7,3504,171,3.47
Whiteleg Shrimp,4.4,3394,116,9.28
Trout,2.0,4845,106,5.8
Grouper,4.9,1752,136,5.69
Rohu,4.9,3323,128,3.74
Cod,4.4,1882,157,2.41
Pangasius,2.7,1053,156,4.92
Snow Crab,2.8,2276,149,8.75
Salmon,0.7,1804,116,8.26
Tiger Prawn,4.5,2928,105,7.6
Mud Crab,3.4,2406,180,3.33
Whiteleg Shrimp,2.0,4188,160,2.27
Barramundi,4.1,1205,115,2.02
King Crab,4.8,1013,119,8.51
Dungeness Crab,2.1,4992,95,2.42
Milkfish,1.9,4440,127,8.82
Tiger Prawn,1.4,4806,158,3.2
Carp,4.6,574,104,2.36
King Crab,1.4,3258,165,8.6
Barramundi,4.9,2159,158,9.8
Barramundi,4.7,2439,111,8.8
Freshwater Prawn,4.0,2001,128,4.63
Pangasius,5.0,985,152,5.99
Soft Shell Crab,4.1,1998,150,8.53
Carp,4.0,3274,130,6.83
Black Tiger Shrimp,1.6,543,138,7.42
Snow Crab,4.8,618,152,4.94
Cod,1.7,4496,115,2.96
Vannamei,3.5,4397,120,6.73
Soft Shell Crab,1.8,2287,144,8.36
Salmon,3.4,1332,112,5.7
Whiteleg Shrimp,3.6,1845,122,5.84
Seabass,1.9,566,102,7.3
Tiger Prawn,3.1,3776,119,4.1
Salmon,2.2,4410,106,4.29
Snow Crab,4.4,4635,147,2.4
Whiteleg Shrimp,2.8,4954,96,9.09
Carp,1.0,4015,124,7.44
Seabass,2.5,904,134,5.65
Grouper,1.7,894,131,7.72
Soft Shell Crab,4.2,2879,168,8.25
Banana Prawn,0.6,3625,149,2.07
Catfish,4.9,877,138,5.1
Carp,2.7,921,155,2.89
Black Tiger Shrimp,2.3,1431,153,8.51
Cod,4.2,4195,120,2.68
Vannamei,1.8,3153,157,6.82
Snapper,4.1,4345,179,3.63
Black Tiger Shrimp,4.2,1975,161,4.35
Dungeness Crab,2.4,4147,127,8.04
Blue Swimmer Crab,3.3,1732,124,7.15
Catfish,2.0,1963,163,7.78
Barramundi,4.1,1937,160,3.25
Cod,4.6,3044,139,6.52
Tiger Prawn,0.6,1032,90,7.84
Pangasius,1.3,2351,152,8.45
Rohu,1.6,884,112,6.96
Banana Prawn,0.8,4258,126,9.59
Blue Swimmer Crab,2.6,3218,135,4.09
Catfish,4.8,4426,100,5.58
Tuna,2.3,4745,162,5.41
Cod,0.8,4747,97,3.29
Rohu,4.7,3337,122,3.37
Rohu,4.6,4457,120,2.52
Snow Crab,3.5,4591,171,5.79
Grouper,0.5,569,140,4.31
Milkfish,3.2,4729,112,3.56
Snapper,2.3,4434,118,6.83
Snapper,4.0,889,99,6.5
King Crab,4.9,664,132,7.58
Tiger Prawn,1.6,843,128,8.37
Catfish,5.0,3119,164,8.23
Snow Crab,3.1,1141,123,9.86
Barramundi,4.3,840,111,7.97
Tilapia,4.2,3715,170,6.13
Carp,2.4,3138,132,7.02
Blue Swimmer Crab,2.3,1991,111,4.2
Vannamei,2.4,1506,103,3.62
Black Tiger Shrimp,4.7,703,171,9.71
Tuna,3.6,3222,129,2.91
Blue Swimmer Crab,2.2,651,155,5.68
Banana Prawn,3.9,4484,134,6.38
Dungeness Crab,4.4,1535,145,8.91
Whiteleg Shrimp,3.1,4009,114,4.3
Tuna,3.7,2300,102,9.79
Tilapia,3.6,1777,165,9.57
Black Tiger Shrimp,0.9,2892,166,9.01
Trout,0.8,4649,103,8.02
Vannamei,2.0,1721,140,3.43
Mud Crab,2.1,2487,156,5.67
Grouper,3.6,2823,121,7.55
Milkfish,1.1,2996,173,4.04
Snow Crab,0.9,4759,153,2.19
Seabass,3.0,3089,176,6.63
Milkfish,4.2,3034,135,7.08
Whiteleg Shrimp,0.7,4899,90,8.89
Blue Swimmer Crab,2.0,2479,175,3.59
Grouper,0.9,2644,159,7.51
Black Tiger Shrimp,2.5,2739,107,7.1
Banana Prawn,2.2,2215,125,7.74
Banana Prawn,0.7,3260,145,3.25
Grouper,3.1,3057,146,9.13
Barramundi,0.7,3719,95,4.04
Grouper,5.0,1849,159,8.46
Milkfish,3.3,4882,180,8.02
Salmon,4.2,2406,165,3.05
Cod,4.4,4473,140,6.49
Pangasius,3.2,2809,106,5.36
Soft Shell Crab,2.0,4097,97,7.81
Tilapia,2.3,1691,106,9.12
Tiger Prawn,3.9,2926,158,5.66
Milkfish,4.7,3082,125,2.45
Milkfish,3.0,1128,100,9.51
Soft Shell Crab,3.1,2240,154,7.53
Mud Crab,5.0,3372,152,6.2
Pangasius,1.2,933,115,6.62
Salmon,5.0,2072,94,2.3
Carp,3.7,3735,174,3.47
King Crab,3.9,2582,90,2.14
Grouper,1.2,3268,156,8.59
Milkfish,4.0,884,152,9.61
Rohu,3.5,2014,157,8.64
Tiger Prawn,5.0,4704,113,3.85
Banana Prawn,3.4,3431,96,4.25
Vannamei,0.8,4280,125,4.54
Barramundi,1.7,4048,132,9.66
Catfish,0.6,4405,176,8.26
Dungeness Crab,4.8,4692,142,7.27
Soft Shell Crab,4.5,3190,145,4.37
Dungeness Crab,3.1,4548,175,9.2
Carp,2.4,793,134,5.04
Grouper,2.9,1020,99,4.74
Grouper,2.5,3509,165,5.59
Salmon,0.8,2315,172,9.8
Mud Crab,1.0,1878,153,2.2
Mud Crab,0.9,944,169,2.17
King Prawn,2.7,4197,169,2.48
Mud Crab,3.1,3308,144,2.15
Seabass,3.6,3088,101,4.46
Mud Crab,0.6,1682,138,3.53
Whiteleg Shrimp,3.9,1841,159,6.94
Freshwater Prawn,0.6,3209,164,9.13
Grouper,2.3,1923,104,8.89
Vannamei,0.9,562,164,2.9
Seabass,3.0,4455,112,9.79
Tilapia,1.9,2229,173,7.58
Banana Prawn,4.4,4991,130,8.08
Carp,3.3,1042,120,7.56
Milkfish,4.1,4041,147,8.48
Milkfish,3.4,2683,162,8.3
Whiteleg Shrimp,2.3,1772,110,8.4
Milkfish,0.6,4717,137,2.96
Salmon,0.6,1927,121,7.69
Freshwater Prawn,4.0,3965,142,8.59
Pangasius,0.5,4894,129,5.62
Barramundi,2.6,1532,135,2.97
Snow Crab,2.1,3321,106,4.6
Dungeness Crab,1.5,644,140,5.61
Freshwater Prawn,3.2,1243,157,5.57
Cod,2.2,1610,171,2.72
Pangasius,2.5,3139,95,7.43
Freshwater Prawn,4.8,2795,180,4.86
Soft Shell Crab,4.0,4515,97,7.79
Dungeness Crab,2.8,552,134,3.01
Snow Crab,1.4,1960,128,6.29
Salmon,3.3,702,112,4.19
Banana Prawn,2.2,2212,106,2.26
Mud Crab,1.4,3149,94,8.6
Blue Swimmer Crab,1.3,4651,163,8.4
Tuna,1.9,1265,119,5.74
Soft Shell Crab,2.6,3885,142,6.88
Vannamei,4.5,3074,114,6.64
Banana Prawn,1.4,1431,114,9.33
Grouper,3.8,3454,121,8.56
Grouper,3.9,4939,91,6.96
Vannamei,3.6,3940,93,3.44
Tuna,4.5,4924,142,2.22
Black Tiger Shrimp,4.5,3179,158,2.46
Dungeness Crab,3.8,1599,122,7.27
Vannamei,4.7,4442,158,4.76
Pangasius,2.8,668,170,3.56
Mud Crab,1.3,3463,101,7.19
Barramundi,3.4,1991,176,6.36
Black Tiger Shrimp,1.5,2037,154,7.47
Snow Crab,4.3,2055,94,3.21
Mud Crab,3.6,3597,105,9.75
Pangasius,1.4,4443,128,4.27
Snow Crab,2.1,2235,125,6.95
Tiger Prawn,2.0,4758,105,3.61
Snow Crab,4.5,2661,137,7.17
Cod,3.3,1950,111,9.7
Rohu,2.8,3259,135,4.37
Barramundi,1.0,2229,114,8.44
Seabass,5.0,4674,149,7.32
Catfish,2.9,1968,169,8.84
Milkfish,3.8,1726,154,4.1
Rohu,2.0,4485,93,5.72
Black Tiger Shrimp,4.8,3081,133,3.51
Catfish,4.8,2178,149,2.72
Snapper,1.6,2564,102,8.81
Rohu,4.6,1892,91,6.12
Tilapia,2.8,3844,131,8.45
Tilapia,4.0,1625,112,7.36
Dungeness Crab,2.3,4137,135,5.28
Tiger Prawn,1.7,1762,159,8.52
Blue Swimmer Crab,2.3,867,121,5.14
Barramundi,2.6,592,138,7.48
Pangasius,3.9,4955,144,7.16
King Crab,1.5,3294,106,4.7
Freshwater Prawn,3.8,1506,130,2.94
Whiteleg Shrimp,2.6,2562,93,8.3
Banana Prawn,3.4,4431,141,9.01
Black Tiger Shrimp,2.8,665,150,6.49
Soft Shell Crab,3.0,1241,158,4.71
Snow Crab,4.5,812,103,6.71
Snapper,2.4,587,165,9.24
Snapper,1.6,952,133,2.83
Salmon,2.4,3488,90,7.87
Pangasius,3.3,1083,116,8.15
Tuna,3.1,1663,118,4.8
Soft Shell Crab,2.7,1930,172,3.26
Tuna,3.0,3928,132,8.16
Tiger Prawn,3.6,2647,103,4.9
Tilapia,2.2,1290,139,2.45
Cod,2.7,3003,147,4.1
Dungeness Crab,4.2,1732,137,3.63
Barramundi,3.0,4875,124,2.31
Soft Shell Crab,1.1,2402,111,9.02
Blue Swimmer Crab,4.7,735,143,4.21
King Prawn,4.5,1226,164,4.59
Cod,1.5,1092,105,3.93
Snow Crab,1.8,3726,129,4.09
