Species,Age_Days,Water_Temp,DO,Feed_Type,Protein,Feed_Quantity
Cod,54,29.2,5.0,Floating,43,45.46
Mud Crab,41,20.6,7.3,Pellet,36,23.77
Catfish,71,31.3,5.3,Sinking,34,48.98
King Prawn,117,31.5,6.8,Sinking,34,4.82
Snapper,47,20.4,4.1,Floating,41,30.97
Salmon,70,28.5,7.6,Floating,33,30.27
Pangasius,32,23.7,6.3,Pellet,42,46.19
Vannamei,113,31.0,7.2,Floating,43,46.98
Trout,30,30.9,7.4,Sinking,32,18.27
Mud Crab,134,25.3,7.3,Pellet,30,30.1
Tiger Prawn,20,21.1,4.8,Floating,40,12.19
Catfish,92,30.9,4.9,Pellet,39,31.77
Milkfish,147,31.9,7.7,Sinking,34,14.24
Milkfish,122,26.9,4.9,Sinking,45,48.53
Barramundi,110,30.6,6.7,Pellet,44,10.64
Snow Crab,82,24.2,4.9,Sinking,43,47.53
Pangasius,47,21.1,7.4,Pellet,36,24.74
Whiteleg Shrimp,48,20.6,6.5,Floating,37,22.79
Tilapia,102,23.9,6.4,Floating,35,27.88
Trout,53,23.9,5.0,Sinking,40,33.4
Banana Prawn,138,23.5,5.9,Floating,40,25.38
Blue Swimmer Crab,71,24.2,5.2,Pellet,41,8.79
Freshwater Prawn,134,30.5,7.4,Floating,43,39.53
Tuna,90,22.9,4.2,Pellet,41,29.08
Rohu,91,29.6,4.2,Pellet,41,2.27
Seabass,43,24.2,4.3,Pellet,29,16.01
Black Tiger Shrimp,111,25.6,7.8,Floating,31,30.15
Soft Shell Crab,86,21.7,4.0,Sinking,28,7.97
Catfish,39,26.6,5.8,Pellet,45,14.2
Tuna,77,26.8,5.3,Floating,42,10.98
Salmon,68,31.7,4.8,Floating,35,5.5
Soft Shell Crab,96,29.0,6.6,Sinking,39,16.62
Snapper,73,21.7,5.9,Sinking,45,29.66
Dungeness Crab,88,29.8,4.7,Pellet,37,7.48
Trout,28,25.6,7.7,Pellet,42,23.15
Soft Shell Crab,52,31.0,5.0,Pellet,31,19.5
Trout,81,31.2,5.0,Sinking,35,35.27
Banana Prawn,79,26.3,6.6,Pellet,40,12.33
Cod,68,31.1,5.3,Floating,39,38.75
Dungeness Crab,124,29.4,5.2,Pellet,29,38.96
Mud Crab,23,25.1,7.2,Sinking,34,45.04
Carp,136,22.5,6.6,Sinking,43,22.98
Whiteleg Shrimp,65,20.9,7.8,Floating,36,6.67
Grouper,92,28.6,7.5,Sinking,35,32.43
Salmon,105,29.0,4.1,Pellet,33,14.27
Dungeness Crab,141,26.4,6.3,Sinking,44,37.17
Pangasius,122,27.7,5.4,Floating,30,11.65
Cod,33,20.5,7.4,Sinking,45,27.34
King Prawn,57,21.5,8.0,Pellet,45,22.76
Mud Crab,120,20.9,6.4,Pellet,35,19.32
Mud Crab,72,29.0,7.8,Pellet,38,44.41
Tilapia,102,28.1,5.5,Sinking,39,37.58
Seabass,92,22.1,6.7,Pellet,34,4.34
Mud Crab,128,30.2,6.0,Pellet,42,20.05
Pangasius,39,22.6,7.5,Sinking,32,10.17
Pangasius,56,29.1,7.5,Floating,41,18.15
Salmon,33,25.9,5.5,Floating,44,8.31
Trout,101,29.7,6.5,Pellet,35,34.21
Tiger Prawn,83,24.9,4.0,Floating,29,31.0
Whiteleg Shrimp,14,28.2,5.4,Sinking,41,49.3
Black Tiger Shrimp,72,21.4,5.0,Pellet,33,37.47
Vannamei,24,25.2,6.4,Sinking,39,41.23
Tiger Prawn,36,20.7,5.7,Sinking,38,47.61
Tuna,149,27.4,5.2,Sinking,37,21.83
Carp,74,29.2,4.1,Sinking,35,34.65
Snow Crab,108,26.3,7.9,Pellet,39,43.3
Seabass,83,26.0,4.7,Floating,33,5.95
Grouper,110,31.6,6.7,Sinking,34,38.6
Vannamei,127,30.1,7.4,Sinking,30,6.36
Cod,116,25.8,4.3,Floating,33,30.16
Grouper,11,30.7,6.6,Pellet,44,6.59
Pangasius,82,26.2,7.2,Pellet,42,7.78
Seabass,56,30.2,6.0,Pellet,31,16.29
Vannamei,138,27.0,7.6,Floating,36,1.59
Tiger Prawn,20,22.7,7.2,Floating,41,18.91
Tilapia,76,21.1,5.8,Pellet,36,42.07
Tiger Prawn,29,26.4,7.9,Floating,35,36.31
Snapper,61,26.1,7.5,Floating,37,25.47
Carp,142,25.6,6.6,Pellet,39,6.19
Milkfish,80,22.7,4.8,Pellet,32,21.56
Dungeness Crab,111,27.9,6.5,Sinking,32,4.7
Grouper,104,26.2,7.3,Pellet,44,28.78
Vannamei,145,31.2,5.5,Sinking,31,3.99
Carp,111,23.1,5.1,Sinking,42,13.58
Snow Crab,100,30.8,5.1,Pellet,29,35.55
Catfish,133,28.9,4.3,Floating,38,12.37
Tiger Prawn,104,25.5,5.0,Pellet,41,47.43
Pangasius,28,29.2,4.4,Sinking,29,7.9
Snow Crab,117,26.1,5.1,Floating,37,22.73
Cod,82,21.9,7.3,Sinking,38,23.4
Salmon,80,29.5,6.2,Pellet,33,38.33
Barramundi,26,29.0,4.3,Sinking,32,14.33
Snapper,139,20.7,6.3,Floating,42,6.38
Rohu,120,27.4,7.3,Pellet,32,6.62
Mud Crab,81,20.9,6.4,Sinking,37,46.46
Vannamei,75,24.3,6.8,Floating,40,17.12
Snapper,62,29.1,7.9,Floating,35,43.02
Tuna,84,29.7,5.7,Sinking,43,8.74
Rohu,68,23.4,4.5,Sinking,33,26.27
Snow Crab,148,24.0,7.2,Sinking,34,20.97
King Prawn,31,27.1,5.1,Pellet,40,32.36
Seabass,32,27.5,6.1,Sinking,29,30.17
Snow Crab,68,30.4,4.4,Floating,30,17.42
Milkfish,134,26.1,4.1,Sinking,38,42.14
Soft Shell Crab,20,26.4,5.4,Pellet,34,34.6
Cod,141,26.8,4.6,Floating,39,25.0
Salmon,12,30.6,5.6,Sinking,29,44.68
Snow Crab,101,24.4,7.2,Floating,39,32.57
Tuna,72,22.9,7.0,Floating,36,48.3
Soft Shell Crab,131,31.0,7.5,Floating,41,22.97
Barramundi,140,20.5,6.6,Floating,31,3.54
Snow Crab,29,25.1,7.8,Floating,41,13.88
Salmon,56,24.9,6.8,Sinking,32,26.13
Seabass,25,29.5,5.1,Floating,32,32.17
Tilapia,21,22.3,7.2,Sinking,30,40.27
Freshwater Prawn,15,22.5,7.1,Sinking,39,4.31
Catfish,86,31.8,5.6,Sinking,36,7.42
Seabass,48,25.2,5.7,Pellet,37,7.07
Salmon,110,25.8,6.0,Floating,38,20.83
Trout,121,27.4,7.3,Pellet,40,6.24
Blue Swimmer Crab,20,20.8,6.0,Sinking,35,9.74
Vannamei,30,30.3,6.7,Floating,41,5.08
Milkfish,72,28.4,4.9,Floating,41,7.99
King Prawn,88,21.1,6.6,Pellet,28,19.06
Cod,130,31.7,6.0,Floating,45,44.57
Tuna,135,28.9,5.2,Floating,33,32.5
Tiger Prawn,90,20.2,7.6,Floating,39,28.36
Tuna,82,28.5,6.5,Pellet,28,26.0
Carp,25,28.6,5.1,Sinking,33,33.0
Grouper,134,30.3,4.4,Floating,35,41.22
Salmon,99,20.8,5.0,Floating,38,37.54
Tiger Prawn,105,25.5,7.2,Floating,45,35.29
King Crab,108,25.0,5.4,Floating,42,1.8
Black Tiger Shrimp,138,29.1,5.2,Sinking,40,32.98
Carp,21,31.7,7.9,Pellet,32,9.6
Soft Shell Crab,31,23.4,5.7,Floating,37,39.72
Whiteleg Shrimp,49,28.5,7.5,Floating,32,39.99
Grouper,109,31.3,7.5,Floating,35,28.87
King Crab,53,20.1,5.4,Floating,28,40.55
Snapper,45,21.5,5.1,Pellet,29,38.58
Carp,66,20.0,7.9,Floating,33,21.6
Tuna,112,25.5,5.1,Sinking,39,45.72
Barramundi,53,21.7,4.5,Sinking,41,32.22
Black Tiger Shrimp,147,27.0,7.1,Floating,36,34.42
Cod,126,23.9,7.8,Floating,37,46.83
King Prawn,116,22.3,6.7,Pellet,37,42.75
King Crab,93,26.7,4.9,Floating,31,26.81
Whiteleg Shrimp,118,26.5,5.0,Floating,38,19.22
Banana Prawn,63,28.5,6.7,Floating,31,3.46
Milkfish,23,26.0,5.4,Floating,41,49.66
Trout,27,25.6,4.8,Pellet,44,8.78
Salmon,88,23.0,4.7,Sinking,28,44.83
Soft Shell Crab,106,27.8,7.6,Pellet,44,23.99
Freshwater Prawn,85,25.8,4.3,Pellet,45,42.58
King Crab,87,31.8,5.6,Pellet,42,4.76
Snow Crab,121,20.4,7.9,Floating,38,35.24
King Prawn,106,26.1,7.9,Pellet,44,22.58
Catfish,103,22.1,7.0,Sinking,33,49.96
Mud Crab,82,27.3,4.6,Pellet,31,35.4
Tiger Prawn,126,22.2,4.8,Floating,34,46.29
Catfish,107,24.6,5.2,Sinking,38,42.53
Rohu,138,21.1,4.4,Floating,43,11.72
Whiteleg Shrimp,22,31.0,4.3,Sinking,38,7.71
Catfish,148,20.6,5.4,Pellet,36,6.18
Milkfish,66,22.5,5.9,Pellet,43,40.64
Barramundi,48,23.6,4.1,Sinking,37,14.43
Dungeness Crab,48,31.1,4.6,Pellet,38,7.8
Grouper,108,31.0,5.6,Floating,39,21.01
Grouper,76,28.9,7.6,Sinking,30,5.29
Dungeness Crab,139,27.5,4.7,Pellet,36,41.95
Salmon,144,23.3,5.7,Floating,39,15.73
Tuna,127,21.2,4.2,Sinking,34,17.13
Tilapia,70,31.7,6.7,Sinking,31,46.1
Barramundi,21,30.3,7.9,Sinking,37,39.58
Seabass,37,24.3,5.9,Pellet,37,5.77
Salmon,84,28.2,6.1,Floating,32,27.67
King Crab,148,31.5,5.2,Sinking,29,16.71
Trout,21,27.3,7.9,Sinking,29,21.82
Seabass,57,31.3,7.5,Pellet,45,19.2
Seabass,137,26.6,4.7,Pellet,36,22.27
Pangasius,150,22.5,7.5,Floating,29,31.71
Seabass,91,20.4,5.6,Sinking,41,34.04
Snapper,46,20.8,7.4,Floating,33,2.14
Carp,77,21.6,6.8,Pellet,35,1.34
Milkfish,16,28.7,7.7,Pellet,28,48.97
King Prawn,12,22.5,4.9,Sinking,41,31.86
Milkfish,45,26.3,6.3,Sinking,41,39.66
Black Tiger Shrimp,60,30.3,5.5,Pellet,39,23.87
Tuna,12,25.4,6.1,Pellet,31,22.67
Milkfish,14,21.0,7.3,Pellet,38,43.41
Rohu,142,25.1,6.3,Pellet,45,38.65
Snapper,137,31.0,6.6,Floating,34,32.9
Freshwater Prawn,81,22.4,6.8,Floating,28,37.99
Snapper,129,27.7,7.6,Pellet,36,15.56
Trout,59,29.4,7.1,Floating,31,17.03
Tuna,138,24.6,5.1,Sinking,41,38.71
Banana Prawn,86,28.8,7.1,Floating,28,25.07
Vannamei,96,22.2,5.2,Sinking,34,9.77
Dungeness Crab,106,31.1,5.3,Pellet,45,33.53
Tuna,20,22.5,4.6,Sinking,30,31.65
Rohu,105,20.7,4.7,Floating,30,19.99
Dungeness Crab,108,31.6,5.4,Floating,34,10.91
Catfish,96,22.3,6.7,Floating,41,42.28
Salmon,47,26.1,5.6,Pellet,34,11.26
Freshwater Prawn,49,31.0,7.0,Pellet,33,15.98
Banana Prawn,35,29.4,7.6,Pellet,33,11.19
Black Tiger Shrimp,23,31.2,4.4,Floating,39,15.84
Catfish,77,25.0,4.4,Floating,34,44.67
Snow Crab,98,25.0,6.2,Floating,42,31.8
Tiger Prawn,80,30.2,6.3,Floating,41,23.54
King Crab,81,25.1,4.0,Floating,35,11.65
Vannamei,102,28.4,6.3,Sinking,43,9.32
Mud Crab,83,22.4,7.7,Sinking,29,23.08
Tuna,118,27.6,5.5,Pellet,35,7.41
King Crab,36,28.0,7.3,Sinking,41,3.97
Catfish,58,23.1,5.0,Pellet,43,8.72
Seabass,64,29.5,7.0,Pellet,30,22.81
Banana Prawn,92,22.9,4.7,Pellet,43,19.81
Tuna,125,21.5,4.9,Sinking,38,29.75
King Prawn,55,31.2,7.3,Sinking,36,49.96
King Prawn,135,31.4,5.7,Pellet,44,6.91
Dungeness Crab,60,30.9,6.7,Floating,28,13.48
Freshwater Prawn,96,22.0,7.0,Pellet,44,25.87
Banana Prawn,110,28.2,6.7,Pellet,35,25.55
Tilapia,93,25.7,4.5,Pellet,42,22.81
Cod,89,23.6,7.6,Pellet,28,23.52
King Prawn,142,28.5,4.8,Sinking,32,4.95
Snow Crab,148,21.5,6.4,Sinking,42,36.34
Milkfish,66,27.9,4.8,Pellet,39,3.55
King Crab,14,22.0,7.5,Floating,44,10.31
Rohu,148,21.4,4.8,Sinking,29,20.27
Snow Crab,138,25.6,5.0,Pellet,41,21.3
Barramundi,88,25.4,6.8,Sinking,39,42.09
Carp,84,20.8,7.6,Floating,42,48.02
Grouper,126,31.1,4.8,Floating,37,22.51
Freshwater Prawn,138,25.7,6.5,Pellet,35,20.95
Seabass,129,24.0,7.9,Floating,44,22.47
Vannamei,121,23.2,7.9,Floating,28,16.93
Cod,88,30.0,6.3,Pellet,33,19.75
Tilapia,107,28.5,4.6,Pellet,32,9.16
Seabass,131,20.4,4.7,Pellet,45,32.22
Barramundi,21,24.3,6.1,Pellet,29,41.48
Black Tiger Shrimp,42,28.3,5.9,Sinking,34,22.28
Dungeness Crab,83,24.0,4.6,Sinking,42,29.83
Blue Swimmer Crab,16,29.0,7.3,Floating,29,17.48
Rohu,113,28.4,7.5,Sinking,33,21.55
Black Tiger Shrimp,10,30.2,5.4,Pellet,41,25.26
Dungeness Crab,70,24.4,7.9,Floating,42,45.73
Seabass,134,25.4,4.8,Sinking,30,11.52
Mud Crab,10,26.7,4.7,Floating,37,47.57
Grouper,92,28.9,4.8,Pellet,44,42.84
Whiteleg Shrimp,93,29.8,5.6,Sinking,30,22.95
Salmon,107,29.2,5.2,Floating,41,47.14
Tiger Prawn,65,28.0,6.0,Sinking,36,13.94
Tuna,27,27.3,6.9,Pellet,35,5.53
Tuna,65,27.1,5.5,Pellet,40,29.18
Salmon,131,20.3,4.5,Sinking,33,48.99
Snapper,125,29.0,4.2,Floating,29,29.98
Dungeness Crab,147,20.5,6.6,Floating,43,38.69
Cod,111,21.0,7.9,Floating,40,12.93
Rohu,40,21.5,7.5,Floating,35,20.25
Tuna,23,24.0,6.4,Sinking,44,37.04
Blue Swimmer Crab,88,26.8,4.9,Pellet,29,24.72
Pangasius,147,30.4,4.2,Floating,29,9.54
King Prawn,25,28.5,6.6,Sinking,41,33.1
Tiger Prawn,51,23.5,4.3,Floating,43,43.78
Snapper,99,25.9,5.5,Pellet,28,37.23
Freshwater Prawn,128,28.1,4.6,Floating,33,11.5
Snapper,72,29.9,7.8,Floating,29,21.6
Carp,25,22.7,4.6,Pellet,44,44.96
Tilapia,52,24.6,6.7,Sinking,34,47.59
Trout,29,31.1,7.3,Sinking,29,30.38
Blue Swimmer Crab,145,23.0,5.3,Floating,39,9.4
Whiteleg Shrimp,90,20.5,4.2,Floating,34,8.69
Snow Crab,112,22.7,7.6,Floating,35,19.57
Snapper,59,26.2,6.5,Pellet,38,25.14
Soft Shell Crab,28,27.6,5.4,Pellet,41,12.99
Blue Swimmer Crab,25,31.4,6.1,Floating,31,43.18
Snapper,128,28.7,6.5,Pellet,37,17.87
Tiger Prawn,137,31.2,7.3,Pellet,32,1.46
Carp,66,26.2,7.1,Sinking,36,26.34
Grouper,139,27.6,4.9,Pellet,30,9.67
King Crab,84,27.5,5.6,Sinking,28,21.11
Seabass,78,30.6,4.1,Pellet,39,29.73
Trout,44,24.8,4.2,Pellet,39,8.69
King Prawn,84,31.3,6.5,Pellet,29,5.31
Carp,49,23.0,4.7,Floating,37,4.82
Cod,98,29.8,6.0,Sinking,32,42.5
Banana Prawn,43,21.2,4.5,Sinking,42,32.64
Rohu,80,20.6,4.2,Pellet,44,16.18
Salmon,64,28.5,5.3,Sinking,37,2.83
Milkfish,77,24.5,4.0,Sinking,33,14.26
Soft Shell Crab,59,26.4,5.3,Floating,41,48.54
Tuna,20,25.0,4.9,Pellet,29,3.1
King Prawn,136,24.3,7.7,Sinking,42,29.19
King Crab,121,25.1,7.1,Sinking,41,22.85
Tuna,136,22.3,6.2,Sinking,30,13.66
Snapper,42,21.5,6.0,Sinking,44,5.66
Salmon,117,24.6,4.8,Pellet,42,1.94
Freshwater Prawn,22,29.9,7.5,Sinking,31,38.97
Grouper,103,21.6,6.3,Pellet,43,41.27
Mud Crab,145,21.9,5.7,Sinking,38,29.93
Blue Swimmer Crab,124,28.4,5.2,Sinking,34,28.59
Trout,41,29.6,6.2,Sinking,45,25.42
Dungeness Crab,20,23.5,5.4,Pellet,34,47.93
Blue Swimmer Crab,84,31.3,6.3,Sinking,32,10.56
Tilapia,26,22.8,8.0,Sinking,40,28.42
Tiger Prawn,24,26.2,4.6,Sinking,32,35.23
Pangasius,123,20.3,7.2,Pellet,38,38.72
Freshwater Prawn,108,31.1,4.1,Pellet,44,32.6
Vannamei,72,20.5,6.2,Pellet,43,47.04
Carp,63,30.7,4.1,Sinking,34,1.47
Seabass,139,21.4,7.6,Sinking,38,42.58
Trout,66,26.5,5.8,Sinking,35,48.78
Tiger Prawn,142,27.8,6.1,Floating,28,36.19
Cod,93,24.2,6.0,Pellet,35,33.94
Whiteleg Shrimp,25,26.9,7.0,Pellet,32,42.21
Carp,61,22.7,6.7,Pellet,33,13.54
Soft Shell Crab,150,27.3,4.4,Pellet,31,37.86
Barramundi,18,29.8,5.4,Floating,42,35.17
Blue Swimmer Crab,86,29.2,8.0,Sinking,36,6.07
Black Tiger Shrimp,83,30.1,4.2,Pellet,31,27.76
Catfish,129,27.1,7.5,Sinking,41,5.57
Snow Crab,95,25.4,5.2,Floating,43,10.22
Snapper,33,28.5,4.8,Pellet,45,7.3
Seabass,53,27.6,4.8,Floating,39,2.98
Barramundi,60,22.9,5.0,Sinking,38,9.2
Barramundi,112,26.2,6.9,Floating,39,18.7
King Prawn,86,22.7,4.7,Floating,36,8.41
Soft Shell Crab,26,24.8,8.0,Sinking,35,43.32
Barramundi,143,23.9,6.8,Sinking,43,49.75
Soft Shell Crab,33,26.5,5.0,Sinking,31,45.91
Soft Shell Crab,139,20.4,5.7,Sinking,43,8.54
Grouper,113,30.7,4.4,Floating,28,19.79
Tuna,76,30.3,5.8,Sinking,34,26.16
Milkfish,116,22.8,6.0,Floating,45,2.89
Tilapia,69,30.0,5.4,Pellet,35,42.71
Snow Crab,98,22.9,5.5,Floating,29,33.18
Cod,29,31.0,4.3,Pellet,32,32.73
Snapper,51,25.1,6.9,Floating,44,22.61
Black Tiger Shrimp,102,26.8,7.1,Pellet,44,12.91
Barramundi,149,21.7,4.8,Floating,42,9.57
Dungeness Crab,94,20.9,6.7,Floating,41,19.39
Cod,30,25.8,5.9,Floating,41,27.1
Tiger Prawn,104,28.8,7.6,Floating,37,13.06
Dungeness Crab,77,28.1,4.1,Sinking,42,21.4
King Crab,140,25.7,6.4,Floating,36,25.63
Salmon,92,21.9,5.5,Sinking,32,13.92
Whiteleg Shrimp,120,23.7,6.5,Pellet,34,38.55
Milkfish,141,29.0,6.2,Sinking,41,14.3
Milkfish,65,24.9,4.7,Floating,44,12.89
Grouper,142,21.0,7.1,Sinking,42,7.49
Soft Shell Crab,39,20.5,5.3,Floating,37,9.57
Whiteleg Shrimp,54,27.4,6.6,Pellet,32,12.14
Milkfish,32,29.5,5.4,Pellet,45,48.09
Dungeness Crab,143,21.6,4.1,Floating,40,5.26
Soft Shell Crab,117,21.4,7.9,Sinking,32,2.04
Vannamei,79,22.6,7.7,Pellet,34,34.35
Whiteleg Shrimp,76,28.9,5.9,Floating,32,37.05
Soft Shell Crab,78,27.8,7.3,Pellet,41,36.37
Seabass,136,21.4,4.4,Pellet,28,42.92
Salmon,104,25.3,6.4,Sinking,30,25.07
Mud Crab,149,20.3,4.4,Floating,29,29.6
Barramundi,57,23.9,5.2,Floating,42,34.66
Cod,43,32.0,7.0,Floating,42,3.83
Snow Crab,92,26.5,4.6,Floating,29,5.69
Tilapia,18,22.1,5.1,Sinking,37,21.27
Rohu,132,22.4,6.8,Floating,28,11.34
Dungeness Crab,46,25.0,5.7,Floating,34,7.07
Vannamei,116,28.2,5.3,Sinking,42,39.61
Snapper,150,24.6,6.4,Sinking,29,47.78
Tilapia,106,26.0,6.5,Pellet,32,31.36
Rohu,37,20.4,7.0,Sinking,37,38.65
Cod,75,25.1,5.8,Sinking,42,15.8
Banana Prawn,120,24.9,6.8,Pellet,31,21.77
Soft Shell Crab,49,24.8,7.7,Pellet,31,13.39
Snapper,126,29.1,4.2,Pellet,34,17.3
Barramundi,10,21.1,7.8,Pellet,45,2.42
Catfish,86,26.0,7.4,Floating,32,3.97
King Prawn,59,20.7,5.0,Pellet,41,29.41
King Crab,102,26.7,4.7,Sinking,42,32.83
Seabass,125,25.3,4.9,Pellet,30,11.76
Freshwater Prawn,111,28.6,4.8,Floating,28,35.27
Mud Crab,140,20.2,6.1,Floating,44,7.26
Black Tiger Shrimp,42,28.7,7.6,Sinking,41,20.12
Rohu,22,21.8,5.1,Sinking,37,40.43
Cod,66,22.1,7.2,Pellet,36,16.02
Snow Crab,42,26.0,7.9,Floating,42,20.25
Salmon,32,26.2,7.6,Floating,44,12.85
Catfish,124,27.4,5.0,Sinking,40,28.22
Grouper,75,22.7,7.9,Floating,28,27.14
Salmon,34,23.4,4.2,Floating,44,17.58
King Crab,75,24.5,7.9,Floating,45,43.42
Vannamei,46,24.4,6.2,Floating,42,29.63
Carp,102,24.4,4.8,Pellet,32,37.42
Trout,71,21.6,5.1,Floating,30,45.49
Catfish,61,25.6,6.4,Sinking,39,8.99
Carp,149,27.2,5.4,Sinking,30,15.14
Snow Crab,108,28.7,7.4,Sinking,37,16.76
Rohu,140,25.5,6.0,Sinking,42,47.91
Cod,43,24.9,5.9,Floating,33,43.19
Salmon,103,27.2,7.0,Pellet,41,34.13
Vannamei,49,26.6,6.4,Sinking,29,44.73
Dungeness Crab,47,30.6,6.5,Sinking,35,46.08
Carp,21,25.4,5.3,Floating,34,4.16
Milkfish,62,30.0,5.9,Sinking,34,46.63
Snapper,80,26.8,4.1,Floating,32,1.36
Tiger Prawn,130,25.4,6.6,Floating,44,2.37
Black Tiger Shrimp,115,30.6,5.6,Sinking,31,29.09
Grouper,35,21.4,4.3,Pellet,36,16.46
Pangasius,130,21.0,4.6,Floating,29,6.54
Tuna,75,22.4,7.5,Floating,41,9.12
Carp,15,24.7,6.9,Sinking,41,43.15
King Crab,43,26.6,7.9,Floating,32,12.72
Black Tiger Shrimp,55,28.4,4.9,Floating,31,47.84
Freshwater Prawn,135,28.2,6.5,Sinking,33,40.99
Catfish,15,31.5,6.2,Sinking,43,48.65
Snow Crab,77,29.1,4.7,Floating,40,6.81
Pangasius,89,23.7,4.4,Floating,44,9.51
Rohu,55,22.9,7.8,Sinking,36,23.8
Vannamei,88,23.4,5.1,Floating,42,34.38
Freshwater Prawn,98,22.5,5.6,Floating,34,42.11
Freshwater Prawn,28,24.0,6.2,Floating,43,4.97
Blue Swimmer Crab,96,24.9,6.3,Floating,38,46.09
Black Tiger Shrimp,58,24.1,7.2,Pellet,36,30.1
Trout,36,28.7,6.5,Sinking,30,10.89
King Prawn,130,30.2,4.7,Floating,28,24.31
Tiger Prawn,146,30.9,6.7,Sinking,45,9.28
Catfish,105,24.9,5.8,Sinking,35,4.78
Whiteleg Shrimp,35,23.7,7.6,Sinking,45,5.41
Black Tiger Shrimp,43,24.2,7.4,Floating,32,49.88
Barramundi,46,25.2,6.4,Floating,30,25.7
Seabass,54,23.5,4.2,Floating,30,45.41
Snow Crab,106,21.2,5.2,Sinking,34,6.14
Dungeness Crab,143,24.7,4.2,Floating,41,33.27
Whiteleg Shrimp,11,31.6,5.6,Pellet,32,49.66
Black Tiger Shrimp,125,31.5,7.4,Sinking,35,10.5
Pangasius,133,22.9,6.2,Sinking,45,34.79
Dungeness Crab,50,27.5,4.0,Floating,41,49.61
Tuna,145,20.1,5.8,Floating,34,16.65
Salmon,129,21.6,6.4,Pellet,30,31.4
Barramundi,16,25.6,5.7,Pellet,30,35.29
Tuna,111,29.6,5.6,Pellet,40,36.82
Barramundi,82,26.0,5.3,Pellet,34,43.21
King Prawn,136,25.6,4.7,Floating,34,33.09
Grouper,139,23.2,7.1,Sinking,35,41.79
Seabass,80,20.6,7.9,Sinking,39,31.1
Catfish,93,29.1,7.1,Pellet,37,35.8
Catfish,136,24.9,7.6,Pellet,35,28.53
Mud Crab,35,31.4,7.5,Pellet,31,21.19
Pangasius,78,24.1,4.4,Pellet,34,34.16
King Crab,23,20.1,7.7,Sinking,32,40.11
Milkfish,94,20.1,4.4,Floating,35,33.27
Soft Shell Crab,137,24.5,6.9,Pellet,35,30.42
Pangasius,42,24.3,5.1,Pellet,41,29.84
Mud Crab,102,21.2,7.1,Pellet,44,32.1
Dungeness Crab,114,24.0,4.5,Sinking,34,37.96
Tuna,37,20.6,4.0,Floating,29,37.71
Milkfish,57,29.6,5.0,Pellet,43,38.47
Whiteleg Shrimp,74,23.4,4.3,Pellet,41,43.14
Mud Crab,145,23.4,4.6,Sinking,43,19.48
Trout,123,29.5,4.8,Sinking,44,38.93
Blue Swimmer Crab,86,30.3,5.3,Floating,34,16.86
Pangasius,13,25.7,4.9,Pellet,39,10.96
Tuna,104,23.8,6.7,Floating,40,15.14
Seabass,103,23.0,5.6,Floating,30,18.56
Blue Swimmer Crab,149,24.1,7.2,Floating,36,15.02
Tiger Prawn,116,26.5,6.7,Floating,29,39.92
Whiteleg Shrimp,71,30.5,4.6,Pellet,33,37.75
Rohu,87,28.7,6.7,Floating,37,25.2
Trout,57,20.5,7.8,Pellet,42,29.17
Carp,149,32.0,7.8,Floating,31,12.0
Trout,102,30.2,7.2,Pellet,38,2.4
Black Tiger Shrimp,75,20.4,4.6,Sinking,38,48.51
Grouper,145,24.8,6.2,Floating,44,32.44
Black Tiger Shrimp,78,30.9,5.5,Floating,31,32.43
Snapper,49,21.1,4.8,Pellet,31,36.2
Soft Shell Crab,70,29.8,7.8,Floating,41,49.06
Carp,122,26.5,7.4,Sinking,33,13.81
Tiger Prawn,124,28.4,4.6,Floating,33,22.27
Cod,131,31.0,6.8,Pellet,45,43.64
Black Tiger Shrimp,110,21.7,7.6,Pellet,38,37.41
Banana Prawn,59,27.7,4.6,Sinking,38,24.79
Milkfish,124,28.4,7.5,Floating,38,33.07
Snow Crab,75,20.1,4.8,Floating,36,16.11
Freshwater Prawn,150,25.4,6.5,Pellet,44,22.46
King Prawn,42,21.8,7.8,Sinking,40,30.93
Barramundi,68,25.6,7.1,Floating,36,38.1
Salmon,25,20.6,4.6,Pellet,32,47.76
Mud Crab,142,22.1,7.7,Sinking,40,2.55
Salmon,79,25.8,4.2,Pellet,36,13.96
Trout,41,27.3,5.2,Floating,39,5.07
Vannamei,30,30.3,7.6,Sinking,43,36.24
Snapper,103,27.2,5.0,Sinking,28,44.68
Rohu,125,22.0,7.8,Sinking,38,7.76
Tiger Prawn,109,27.7,6.5,Sinking,33,1.36
Dungeness Crab,109,28.8,5.7,Floating,31,26.67
Snapper,22,21.7,7.8,Floating,31,48.46
Tiger Prawn,82,23.4,7.6,Sinking,29,17.23
Carp,139,21.4,5.2,Sinking,30,33.85
Grouper,13,27.5,5.0,Floating,45,49.53
Snapper,36,25.5,6.4,Sinking,28,43.26
Banana Prawn,102,30.7,4.4,Sinking,43,48.13
Blue Swimmer Crab,122,28.4,6.1,Floating,34,12.23
Grouper,38,23.1,6.3,Floating,40,16.28
Milkfish,71,28.5,6.5,Floating,33,34.1
Cod,31,22.4,5.9,Floating,29,42.34
Vannamei,60,25.0,7.6,Floating,31,36.72
Tuna,25,23.5,4.9,Sinking,30,15.4
Blue Swimmer Crab,46,31.9,4.6,Floating,30,4.94
Blue Swimmer Crab,107,24.6,5.9,Sinking,30,36.14
